CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,P_Area_km2
685,-4.01845,5.38497,1.91257,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,1.91257
150,-6.52221,6.18078,103.17403,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,21,Grand-Zattry,Sous-préfecture,Sub-prefecture,,,103.17403
763,-6.83869,8.07764,1082.96395,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,11,Guinteguela,Sous-préfecture,Sub-prefecture,,,1.06138
763,-6.83869,8.07764,1082.96395,57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,172,Seguela,Sous-préfecture,Sub-prefecture,,,64.67191
763,-6.83869,8.07764,1082.96395,57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,173,Sifie,Sous-préfecture,Sub-prefecture,,,33.90548
763,-6.83869,8.07764,1082.96395,57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,174,Worofla,Sous-préfecture,Sub-prefecture,,,983.32518
1184,-3.9918,5.3791,0.67996,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.67996
84,-4.25701,7.3176,768.20711,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,31,Daoukro,101,Ouelle,Sous-préfecture,Sub-prefecture,,,629.15999
84,-4.25701,7.3176,768.20711,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,102,Bocanda,Sous-préfecture,Sub-prefecture,,,65.89723
84,-4.25701,7.3176,768.20711,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,104,Kouassikro,Sous-préfecture,Sub-prefecture,,,8.31719
84,-4.25701,7.3176,768.20711,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,105,M'bahiakro,Sous-préfecture,Sub-prefecture,,,64.83269
55,-3.19681,6.39418,184.23572,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,91,Abengourou,Sous-préfecture,Sub-prefecture,,,182.73791
55,-3.19681,6.39418,184.23572,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,92,Bettie,Sous-préfecture,Sub-prefecture,,,0.26466
55,-3.19681,6.39418,184.23572,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,93,Niable,Sous-préfecture,Sub-prefecture,,,0.4268
55,-3.19681,6.39418,184.23572,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,139,Ayame,Sous-préfecture,Sub-prefecture,,,0.80635
537,-3.97182,5.29142,0.4036,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.4036
1156,-5.26091,6.80988,1.89571,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,67,Yamoussoukro,Sous-préfecture,Sub-prefecture,,,1.89571
13,-3.99723,5.41719,0.87919,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.87919
359,-2.99496,5.67607,82.91317,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,139,Ayame,Sous-préfecture,Sub-prefecture,,,2.06503
359,-2.99496,5.67607,82.91317,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,140,Mafere,Sous-préfecture,Sub-prefecture,,,80.84814
320,-4.32376,5.34085,92.40152,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,73,Dabou,Sous-préfecture,Sub-prefecture,,,64.02986
320,-4.32376,5.34085,92.40152,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,75,Jacqueville,Sous-préfecture,Sub-prefecture,,,17.57515
320,-4.32376,5.34085,92.40152,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,77,Songon,Sous-préfecture,Sub-prefecture,,,10.79651
37,-2.91929,5.41437,216.43889,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,141,Tiapoum,Sous-préfecture,Sub-prefecture,,,36.02715
37,-2.91929,5.41437,216.43889,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,140,Mafere,Sous-préfecture,Sub-prefecture,,,180.41174
920,-4.37103,5.33436,15.17525,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,73,Dabou,Sous-préfecture,Sub-prefecture,,,15.17525
885,-4.0112,5.33439,0.805,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.805
768,-4.70996,6.07833,286.25068,57,CIV,Côte d'Ivoire,9,Lagunes,22,Tiassalé,79,Taabo,Sous-préfecture,Sub-prefecture,,,18.87001
768,-4.70996,6.07833,286.25068,57,CIV,Côte d'Ivoire,9,Lagunes,22,Tiassalé,80,Tiassale,Sous-préfecture,Sub-prefecture,,,267.38067
15,-3.21174,5.46911,52.09352,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,137,Aboisso,Sous-préfecture,Sub-prefecture,,,52.09352
47,-4.93826,6.25781,258.15027,57,CIV,Côte d'Ivoire,9,Lagunes,22,Tiassalé,79,Taabo,Sous-préfecture,Sub-prefecture,,,221.20337
47,-4.93826,6.25781,258.15027,57,CIV,Côte d'Ivoire,8,Lacs,18,Toumodi,63,Toumodi,Sous-préfecture,Sub-prefecture,,,36.9469
541,-3.74104,5.21655,7.19429,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,74,Grand-Bassam,Sous-préfecture,Sub-prefecture,,,7.19429
1222,-4.39198,5.37298,28.93981,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,73,Dabou,Sous-préfecture,Sub-prefecture,,,28.93981
1010,-4.2262,5.32006,56.93361,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,75,Jacqueville,Sous-préfecture,Sub-prefecture,,,2.41825
1010,-4.2262,5.32006,56.93361,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,77,Songon,Sous-préfecture,Sub-prefecture,,,54.51536
850,-3.50854,6.74034,30.6561,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,91,Abengourou,Sous-préfecture,Sub-prefecture,,,30.6561
374,-6.16766,6.90421,199.05005,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,55,Bediala,Sous-préfecture,Sub-prefecture,,,2.54902
374,-6.16766,6.90421,199.05005,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,56,Daloa,Sous-préfecture,Sub-prefecture,,,2.36816
374,-6.16766,6.90421,199.05005,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,81,Bonon,Sous-préfecture,Sub-prefecture,,,194.13288
1075,-5.96234,5.19268,307.49444,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,19,Sassandra,Sous-préfecture,Sub-prefecture,,,307.49444
32,-3.93289,5.25452,0.93439,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.93439
666,-6.60287,6.8602,157.14625,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,57,Gboguhe,Sous-préfecture,Sub-prefecture,,,128.76799
666,-6.60287,6.8602,157.14625,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,58,Zoukougbeu,Sous-préfecture,Sub-prefecture,,,28.37826
762,-5.64969,9.46082,557.70295,57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,128,Tioroniaradougou,Sous-préfecture,Sub-prefecture,,,78.01297
762,-5.64969,9.46082,557.70295,57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,122,Korhogo,Sous-préfecture,Sub-prefecture,,,479.68998
252,-5.67218,8.21138,637.00815,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,166,Tieningboue,Sous-préfecture,Sub-prefecture,,,592.46837
