ID_2,DHSCLUST,O_Area_km2,P_Area_km2,Proportion
35,139,987,357,0.3617021276595745
35,274,10442,6518,0.6242099214709825
35,249,3010,0,0.0
35,244,2328,88,0.037800687285223365
35,105,1615,1615,1.0
35,176,793,793,1.0
36,39,1117,1066,0.954341987466428
36,101,3500,13,0.0037142857142857142
36,132,1891,547,0.2892649391856161
36,45,446,446,1.0
36,52,1927,9,0.00467047223663726
36,120,1287,159,0.12354312354312354
36,292,122,122,1.0
36,259,26,26,1.0
36,307,483,53,0.10973084886128365
36,173,442,434,0.9819004524886877
36,50,943,714,0.7571580063626723
36,268,2109,616,0.29208155523944995
36,144,2228,13,0.0058348294434470375
36,199,3600,75,0.020833333333333332
36,193,1049,1049,1.0
36,280,1425,262,0.18385964912280703
36,85,408,408,1.0
36,118,1992,1270,0.6375502008032129
36,150,78,78,1.0
36,157,423,397,0.9385342789598109
36,139,987,629,0.6372847011144883
36,309,1914,1803,0.9420062695924765
36,255,527,199,0.3776091081593928
36,236,63,63,1.0
36,162,2360,40,0.01694915254237288
36,327,193,193,1.0
36,234,31,31,1.0
36,244,2328,1974,0.8479381443298969
37,52,1927,1916,0.99429164504411
37,162,2360,402,0.17033898305084746
38,232,2003,675,0.33699450823764354
38,272,1764,365,0.20691609977324263
38,168,1706,1025,0.6008206330597889
38,126,1460,22,0.015068493150684932
38,81,2569,2569,1.0
38,16,2013,273,0.13561847988077497
38,229,630,506,0.8031746031746032
38,275,1490,279,0.187248322147651
38,323,1375,594,0.432
