DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,Shape_Leng,Shape_Area
SN201200000057,SN,2012.00000000000,57.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,13.95056475600,-15.47463850700,9999.00000000000,10.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92483,Birkelane,,,,Arrondissment,Arrondissement,Unknown,Present,,1.97229426699,0.11718428792
SN201200000058,SN,2012.00000000000,58.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,13.83087745900,-15.54318379300,9999.00000000000,17.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92486,Nganda,,,,Arrondissment,Arrondissement,Unknown,Present,,1.61788925014,0.09822844760
SN201200000059,SN,2012.00000000000,59.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,U,14.10000594800,-15.55219232700,9999.00000000000,13.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92485,Maleme Hodar,,,,Arrondissment,Arrondissement,Unknown,Present,,2.49882249652,0.35353844531
SN201200000060,SN,2012.00000000000,60.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,U,13.99553186300,-14.79052831000,9999.00000000000,11.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92484,Koungheul,,,,Arrondissment,Arrondissement,Unknown,Present,,2.56327493104,0.36634261837
SN201200000061,SN,2012.00000000000,61.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,14.04351148900,-15.01208502200,9999.00000000000,48.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92484,Koungheul,,,,Arrondissment,Arrondissement,Unknown,Present,,2.56327493104,0.36634261837
SN201200000062,SN,2012.00000000000,62.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,14.29298986900,-15.12078148700,9999.00000000000,30.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92485,Maleme Hodar,,,,Arrondissment,Arrondissement,Unknown,Present,,2.49882249652,0.35353844531
SN201200000063,SN,2012.00000000000,63.00000000000,SG,SG10,Kaolack,NULL,NULL,6.00000000000,Kaolack,3.00000000000,Centre,CEN,R,14.31660534900,-15.89541549800,9999.00000000000,27.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31085,Gossas,92481,Kahone,,,,Arrondissment,Arrondissement,Unknown,Present,,1.00189287405,0.05943454497
SN201200000064,SN,2012.00000000000,64.00000000000,SG,SG10,Kaolack,NULL,NULL,6.00000000000,Kaolack,3.00000000000,Centre,CEN,R,13.97885206900,-15.95775941900,9999.00000000000,16.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31087,Kaolack,92489,Ndoffane,,,,Arrondissment,Arrondissement,Unknown,Present,,1.18164365934,0.06189191986
SN201200000065,SN,2012.00000000000,65.00000000000,SG,SG10,Kaolack,NULL,NULL,6.00000000000,Kaolack,3.00000000000,Centre,CEN,R,14.02026512100,-15.82325513300,9999.00000000000,29.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31087,Kaolack,92489,Ndoffane,,,,Arrondissment,Arrondissement,Unknown,Present,,1.18164365934,0.06189191986
SN201200000066,SN,2012.00000000000,66.00000000000,SG,SG10,Kaolack,NULL,NULL,6.00000000000,Kaolack,3.00000000000,Centre,CEN,R,13.87264291800,-16.09675764600,9999.00000000000,26.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31087,Kaolack,92488,Ndiedieng,,,,Arrondissment,Arrondissement,Unknown,Present,,1.18266136233,0.05167861626
